Slide TCGA-CZ-5467-01A-01-TS1.12f383f5-4f3c-42a5-9192-4333b4355255.svs Done. Slide Dimensions W=10000 H=8564, #Patches=166
Slide TCGA-EU-5905-01A-01-TS1.a48f2189-66c2-4fd9-97a1-8c5784522bb9.svs Done. Slide Dimensions W=17985 H=5511, #Patches=45
Slide TCGA-A3-3378-01A-02-BS2.2752cbb2-4d11-4e93-9ee6-db03faa8e676.svs Done. Slide Dimensions W=6000 H=5374, #Patches=66
Slide TCGA-CZ-5465-01A-01-TS1.a792fb44-6324-4933-8d2f-7ef9e8623c68.svs Done. Slide Dimensions W=7500 H=10294, #Patches=148
Slide TCGA-AK-3440-01A-01-BS1.ceabca88-ecca-4abb-84f1-984ad0f8d55c.svs Done. Slide Dimensions W=7500 H=5197, #Patches=48
Slide TCGA-B0-4837-11A-01-BS1.96947177-0964-46cf-bda8-5d03f9130a99.svs Done. Slide Dimensions W=7000 H=5956, #Patches=68
Slide TCGA-BP-4987-01A-01-TS1.bc5e22b5-b98b-4ba6-a23c-b594b35a0b14.svs Done. Slide Dimensions W=9000 H=8999, #Patches=95
Slide TCGA-CZ-5468-01A-01-TS1.ea4712c0-7799-4523-be43-578f0505911f.svs Done. Slide Dimensions W=8500 H=10240, #Patches=217
Slide TCGA-BP-4162-01A-01-BS1.f438ddaa-5a51-47eb-9859-2d3de1d65f60.svs Done. Slide Dimensions W=6500 H=8407, #Patches=65
Slide TCGA-B0-4810-01A-01-BS1.48143087-b440-4f48-8f17-40c9a2a71006.svs Done. Slide Dimensions W=6500 H=8023, #Patches=54
Slide TCGA-CZ-4862-01A-01-TS1.925f128b-b2a3-4b15-8e24-8d82174c0f1a.svs Done. Slide Dimensions W=9500 H=7412, #Patches=93
Slide TCGA-B8-4153-11A-01-BS1.4770878f-53e0-4f43-b2de-0cf746e941ba.svs Done. Slide Dimensions W=6500 H=3914, #Patches=29
Slide TCGA-B0-5098-11A-01-TS1.2b44c6d9-175d-4f54-9740-368cc418c285.svs Done. Slide Dimensions W=4500 H=5202, #Patches=31
Slide TCGA-CZ-5467-01A-01-BS1.bd2795fa-17ba-4b8e-ba48-b6a0b30f3142.svs Done. Slide Dimensions W=8500 H=5812, #Patches=61
Slide TCGA-CJ-4897-11A-01-TS1.96dc0e9c-3fee-492a-84a2-2d7781480dbc.svs Done. Slide Dimensions W=12000 H=6220, #Patches=78
